Store Name,amenity,leisure,shop,count
CHAMLING SMOKE & LIQUOR / ANKENY,restaurant,None,None,14
CHAMLING SMOKE & LIQUOR / ANKENY,cafe,None,None,2
CHAMLING SMOKE & LIQUOR / ANKENY,None,None,supermarket,1
CHAMLING SMOKE & LIQUOR / ANKENY,None,stadium,None,11
CHAMLING SMOKE & LIQUOR / ANKENY,bar,None,None,3
CIRCLE K / WDM,None,stadium,None,1
CIRCLE K / WDM,cafe,None,None,1
CITY SMOKE SHOP / JOHNSTON,pub,None,None,2
CITY SMOKE SHOP / JOHNSTON,cafe,None,None,1
CITY SMOKE SHOP / JOHNSTON,restaurant,None,None,9
CITY SMOKE SHOP / JOHNSTON,None,stadium,None,1
CITY SMOKE SHOP / JOHNSTON,None,None,supermarket,2
CITY SMOKE SHOP / JOHNSTON,bar,None,None,1
CVS / PHARMACY #10161 / DES MOINES,bar,None,None,1
CVS / PHARMACY #10161 / DES MOINES,restaurant,None,None,7
CVS / PHARMACY #10161 / DES MOINES,None,None,supermarket,5
CVS PHARMACY #10162 / DES MOINES,None,None,supermarket,1
CVS PHARMACY #10162 / DES MOINES,restaurant,None,None,4
CVS PHARMACY #10329 / MERLE HAY,bar,None,None,1
CVS PHARMACY #10329 / MERLE HAY,restaurant,None,None,3
DAHL'S / ANKENY,pub,None,None,2
DAHL'S / ANKENY,restaurant,None,None,10
DAHL'S / ANKENY,cafe,None,None,1
DAHL'S / ANKENY,None,None,supermarket,3
DAHL'S / ANKENY,None,stadium,None,12
DAHL'S / BEAVER,None,None,supermarket,2
DAHL'S / BEAVER,bar,None,None,2
DAHL'S / BEAVER,cafe,None,None,3
DAHL'S / BEAVER,pub,None,None,5
DAHL'S / BEAVER,restaurant,None,None,15
DAHL'S / E. EUCLID,None,None,supermarket,4
DAHL'S / E. EUCLID,restaurant,None,None,7
DAHL'S / EP TRUE / WDM,restaurant,None,None,6
DAHL'S / EP TRUE / WDM,pub,None,None,3
DAHL'S / EP TRUE / WDM,None,None,supermarket,1
DAHL'S / EP TRUE / WDM,bar,None,None,1
DAHL'S / EP TRUE / WDM,cafe,None,None,2
DAHL'S / FLEUR DR,None,None,supermarket,3
DAHL'S / FLEUR DR,cafe,None,None,2
DAHL'S / FLEUR DR,pub,None,None,1
DAHL'S / FLEUR DR,restaurant,None,None,6
DAHL'S / HICKMAN,restaurant,None,None,11
DAHL'S / HICKMAN,pub,None,None,3
DAHL'S / HICKMAN,None,None,supermarket,1
DAHL'S / HICKMAN,bar,None,None,7
DAHL'S / INGERSOLL,None,None,supermarket,1
DAHL'S / INGERSOLL,bar,None,None,6
DAHL'S / INGERSOLL,cafe,None,None,4
DAHL'S / INGERSOLL,pub,None,None,2
DAHL'S / INGERSOLL,restaurant,None,None,14
